URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/medication-statement-adherence,5.0.0,active,"2.16.840.1.113883.4.642.4.1981",MedicationStatementAdherenceCodes,MedicationStatement Adherence Codes,"MedicationStatement Adherence Codes","ValueSet/medication-statement-adherence"
http://hl7.org/fhir/event-status,5.0.0,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://tecnomod-um.org/CodeSystem/assessment-context-cs,0.1.0,active,,AssessmentContextCS,Assessment Context Code System,"This CodeSystem defines normalized codes for the **clinical context / relative timepoint** at which a stroke-related assessment is performed. It is primarily used to contextualize instruments whose interpretation depends on phase (e.g., mRS/NIHSS at baseline vs discharge vs follow-up).  **Primary use-case** - Use as the value in `ObservationTimingContextExtension.valueCodeableConcept` to label the phase of an assessment.  **How it complements effective[x]** - `Observation.effective[x]` records the actual date/time (when known). - This CodeSystem records the standardized phase label used for reporting and comparability.  **Why this is needed** - Many workflows report outcomes by phase even when the exact timestamp is unknown or operationally variable (“mRS at 90 days”).","ValueSet/assessment-context-vs"
http://tecnomod-um.org/CodeSystem/brain-imaging-type-cs,0.1.0,active,,BrainImagingTypeCS,Brain Imaging Type Code System,"Codes specifying the type of brain imaging performed (e.g., CT, MRI).","ValueSet/brain-imaging-modality-vs"
http://tecnomod-um.org/CodeSystem/discharge-dept-cs,0.1.0,active,,DischargeDeptCS,Discharge Department/Service Code System,"Code system specifying the type of department or service the patient was discharged or transferred to.","ValueSet/discharge-dept-vs"
http://tecnomod-um.org/CodeSystem/hemorrhagic-stroke-bleeding-reason-cs,0.1.0,active,,HemorrhagicStrokeBleedingReasonCS,Hemorrhagic Stroke Bleeding Reason Code System,"Codes indicating the reason for bleeding in hemorrhagic stroke cases.","ValueSet/hemorrhagic-stroke-bleeding-reason-vs"
http://tecnomod-um.org/CodeSystem/initial-care-intensity-cs,0.1.0,active,,InitialCareIntensityCS,Initial Care Intensity Code System,"Codes indicating the level of care provided during the patient's initial day(s) in the hospital.","ValueSet/initial-care-intensity-vs"
http://tecnomod-um.org/CodeSystem/medication-cs,0.1.0,draft,,MedicationCS,Medications CodeSystem,"Codes for drug products or substances representing the Medications on the patient discharge.","ValueSet/medication-vs"
http://tecnomod-um.org/CodeSystem/mrs-score-cs,0.1.0,active,,MRsScoreCS,Modified Rankin Scale Score Code System,"This CodeSystem defines codes for the **modified Rankin Scale (mRS)**, an ordinal measure of global disability and functional outcome. Scores range from 0 (no symptoms) to 5 (severe disability), with 6 indicating death.  **Primary use-case** - Use as the coded result in `Observation.valueCodeableConcept` (bound via MRsScoreVS) when recording an mRS outcome.  **Modeling notes** - mRS is a global disability scale and does not capture domain-specific limitations (mobility, ADLs, cognition).   Capture those via additional instruments/Observations when needed. - Method of ascertainment and assessor details should be recorded separately (e.g., Observation.method, performer, Provenance).","ValueSet/mrs-score-vs"
http://tecnomod-um.org/CodeSystem/mtici-code-cs,0.1.0,active,,MTICICodeCS,Modified Thrombolysis in Cerebral Infarction Assessment CodeSystem,"This CodeSystem defines the *assessment concept code* used to indicate that an Observation is reporting an mTICI reperfusion grade.  **Design pattern** - `Observation.code` identifies the kind of assessment (“mTICI reperfusion grade”). - `Observation.valueCodeableConcept` carries the result (one of the grades in MticiScoreVS).","ValueSet/mtici-code-vs"
http://tecnomod-um.org/CodeSystem/mtici-score-cs,0.1.0,draft,,MticiScoreCS,Modified Treatment in Cerebral Infarction Grade Score CodeSystem,"This CodeSystem defines the **modified Thrombolysis in Cerebral Infarction (mTICI)** reperfusion grade values. mTICI is an ordinal angiographic scale used to quantify the extent of reperfusion after endovascular therapy for acute ischemic stroke.  **Primary use-case** - Use as the coded result in `Observation.valueCodeableConcept` (bound via MticiScoreVS) when recording the *final angiographic reperfusion grade*.  **Modeling notes** - Represents the *final* reperfusion grade for the downstream ischemic territory (typically adjudicated from the final angiographic run). - Does not encode target vessel, device/technique, number of passes, timestamps, or adjudication workflow; capture those via Procedure, ImagingStudy, Observation.method, or additional Observations/Provenance.","ValueSet/mtici-score-vs"
http://tecnomod-um.org/CodeSystem/procedure-timing-context-cs,0.1.0,active,,ProcedureTimingContextCS,Procedure Timing Context CodeSystem,"Local CodeSystem for classifying a procedure into a **timing context** relative to encounter start.  **Primary use-case** - Normalize reporting into acute (<24h) vs post-acute (>=24h) phases for stroke process measures.   **FHIR placement** - Used in `ProcedureTimingContextExtension` attached to Procedure.","ValueSet/procedure-timing-context-vs"
http://tecnomod-um.org/CodeSystem/stroke-arrival-mode-cs,0.1.0,active,,StrokeArrivalModeCS,Initial Care Intensity Code System,"Codes indicating the level of care provided during the patient's initial day(s) in the hospital.","ValueSet/stroke-arrival-mode-vs"
http://tecnomod-um.org/CodeSystem/stroke-circumstance-codes-cs,0.1.0,active,,StrokeCircumstanceCodesCS,Stroke Circumstance Codes CodeSystem,"This CodeSystem defines coded circumstances related to stroke symptom onset that are clinically relevant when onset time is unknown or atypical.  **Primary use-case** - Use as `Observation.code` in `StrokeCircumstanceObservationProfile`. - Presence of the Observation asserts that the circumstance applies to the index stroke event.","ValueSet/stroke-circumstance-codes-vs"
